State,Year,District,Murder,Attempt to Commit Murder ,Hurt,Assault on Women ,Kidnapping and Abduction,Rape,Offences Affecting the Human Body,Rioting,Theft,Burglary,Extortion & Blackmailing,Robbery,Offences against Property,"Forgery, Cheating & Fraud",Offences Relating to Documents & Property Marks,Rash Driving on Public way,Obstruction on Public way,Arson,Criminal Trespass,Cruelty by Husband or his Relatives,Circulate False/Fake News/Rumours,Criminal Intimidation,Miscellaneous IPC Crimes,Other IPC Crimes,Total Cognizable IPC crimes
Tamil Nadu,2019,Coimbatore City,39,22,509,5,7,1,732,21,498,84,24,82,692,103,105,936,0,3,0,18,0,0,957,1,2567
Tamil Nadu,2020,Coimbatore City,31,24,530,2,4,2,680,23,238,56,52,54,413,88,90,642,0,4,0,23,0,0,669,8150,10112
Tamil Nadu,2017,Cuddalore,48,58,1128,33,14,21,1948,102,235,91,10,14,354,87,91,3065,16,19,7,33,0,922,4209,55,6866
Tamil Nadu,2018,Cuddalore,53,77,1627,86,16,19,2331,87,255,87,10,16,369,82,85,3078,48,12,20,23,0,789,4411,28,7443
Tamil Nadu,2019,Cuddalore,48,70,1505,65,24,15,2164,44,184,87,10,27,308,36,37,2421,39,5,17,39,4,474,3281,78,6035
Tamil Nadu,2020,Cuddalore,53,112,2891,14,41,32,3491,115,177,112,27,22,339,30,31,2331,486,19,1,46,35,1413,5001,32498,41640
Tamil Nadu,2017,Cyber Cell,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,1,4
Tamil Nadu,2018,Cyber Cell,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,1,0,1,0,6
Tamil Nadu,2019,Cyber Cell,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,5
Tamil Nadu,2020,Cyber Cell,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,1,1,4
Tamil Nadu,2017,Dharmapuri,36,23,437,3,49,2,840,35,218,71,2,9,308,31,31,1234,0,7,4,9,0,0,1281,59,2558
